player_id,City,Event,Sport
4,Calgary,Speed Skating Women's 500 metres,Speed Skating
5,Calgary,"Speed Skating Women's 1,000 metres",Speed Skating
6,Albertville,Speed Skating Women's 500 metres,Speed Skating
7,Albertville,"Speed Skating Women's 1,000 metres",Speed Skating
8,Lillehammer,Speed Skating Women's 500 metres,Speed Skating
9,Lillehammer,"Speed Skating Women's 1,000 metres",Speed Skating
10,Albertville,Cross Country Skiing Men's 10 kilometres,Cross Country Skiing
11,Albertville,Cross Country Skiing Men's 50 kilometres,Cross Country Skiing
12,Albertville,Cross Country Skiing Men's 10/15 kilometres Pursuit,Cross Country Skiing
13,Albertville,Cross Country Skiing Men's 4 x 10 kilometres Relay,Cross Country Skiing
14,Lillehammer,Cross Country Skiing Men's 10 kilometres,Cross Country Skiing
15,Lillehammer,Cross Country Skiing Men's 30 kilometres,Cross Country Skiing
16,Lillehammer,Cross Country Skiing Men's 10/15 kilometres Pursuit,Cross Country Skiing
17,Lillehammer,Cross Country Skiing Men's 4 x 10 kilometres Relay,Cross Country Skiing
18,Albertville,Cross Country Skiing Men's 10 kilometres,Cross Country Skiing
19,Albertville,Cross Country Skiing Men's 50 kilometres,Cross Country Skiing
20,Albertville,Cross Country Skiing Men's 10/15 kilometres Pursuit,Cross Country Skiing
21,Albertville,Cross Country Skiing Men's 4 x 10 kilometres Relay,Cross Country Skiing
22,Lillehammer,Cross Country Skiing Men's 10 kilometres,Cross Country Skiing
23,Lillehammer,Cross Country Skiing Men's 30 kilometres,Cross Country Skiing
24,Lillehammer,Cross Country Skiing Men's 10/15 kilometres Pursuit,Cross Country Skiing
25,Lillehammer,Cross Country Skiing Men's 4 x 10 kilometres Relay,Cross Country Skiing
28,Salt Lake City,Ice Hockey Men's Ice Hockey,Ice Hockey
30,Lake Placid,Cross Country Skiing Men's 30 kilometres,Cross Country Skiing
34,Lillehammer,Biathlon Women's 7.5 kilometres Sprint,Biathlon
40,Sochi,Ice Hockey Men's Ice Hockey,Ice Hockey
59,Albertville,Alpine Skiing Men's Downhill,Alpine Skiing
60,Albertville,Alpine Skiing Men's Super G,Alpine Skiing
61,Albertville,Alpine Skiing Men's Giant Slalom,Alpine Skiing
62,Albertville,Alpine Skiing Men's Slalom,Alpine Skiing
63,Lillehammer,Alpine Skiing Men's Downhill,Alpine Skiing
64,Lillehammer,Alpine Skiing Men's Super G,Alpine Skiing
65,Lillehammer,Alpine Skiing Men's Giant Slalom,Alpine Skiing
66,Lillehammer,Alpine Skiing Men's Slalom,Alpine Skiing
67,Lillehammer,Alpine Skiing Men's Combined,Alpine Skiing
68,Nagano,Alpine Skiing Men's Downhill,Alpine Skiing
69,Nagano,Alpine Skiing Men's Super G,Alpine Skiing
70,Nagano,Alpine Skiing Men's Giant Slalom,Alpine Skiing
71,Nagano,Alpine Skiing Men's Combined,Alpine Skiing
72,Salt Lake City,Alpine Skiing Men's Downhill,Alpine Skiing
73,Salt Lake City,Alpine Skiing Men's Super G,Alpine Skiing
74,Salt Lake City,Alpine Skiing Men's Giant Slalom,Alpine Skiing
75,Salt Lake City,Alpine Skiing Men's Slalom,Alpine Skiing
76,Salt Lake City,Alpine Skiing Men's Combined,Alpine Skiing
77,Torino,Alpine Skiing Men's Downhill,Alpine Skiing
78,Torino,Alpine Skiing Men's Super G,Alpine Skiing
83,Squaw Valley,Speed Skating Men's 500 metres,Speed Skating
84,Squaw Valley,"Speed Skating Men's 1,500 metres",Speed Skating
85,Innsbruck,"Speed Skating Men's 1,500 metres",Speed Skating
87,Sarajevo,Luge Women's Singles,Luge
99,Nagano,Bobsleigh Men's Four,Bobsleigh
110,Oslo,"Speed Skating Men's 1,500 metres",Speed Skating
111,Cortina d'Ampezzo,"Speed Skating Men's 1,500 metres",Speed Skating
112,Cortina d'Ampezzo,"Speed Skating Men's 5,000 metres",Speed Skating
113,Squaw Valley,"Speed Skating Men's 1,500 metres",Speed Skating
114,Squaw Valley,"Speed Skating Men's 5,000 metres",Speed Skating
115,Squaw Valley,"Speed Skating Men's 10,000 metres",Speed Skating
119,Nagano,Cross Country Skiing Men's 30 kilometres,Cross Country Skiing
120,Nagano,Cross Country Skiing Men's 50 kilometres,Cross Country Skiing
121,Salt Lake City,Cross Country Skiing Men's 15 kilometres,Cross Country Skiing
122,Salt Lake City,Cross Country Skiing Men's 50 kilometres,Cross Country Skiing
123,Salt Lake City,Cross Country Skiing Men's 4 x 10 kilometres Relay,Cross Country Skiing
245,Vancouver,Alpine Skiing Men's Giant Slalom,Alpine Skiing
252,Sochi,Alpine Skiing Women's Slalom,Alpine Skiing
265,Innsbruck,Figure Skating Men's Singles,Figure Skating
266,Grenoble,Figure Skating Men's Singles,Figure Skating
276,Vancouver,Figure Skating Men's Singles,Figure Skating
277,Sochi,Figure Skating Men's Singles,Figure Skating
278,Sochi,Figure Skating Mixed Team,Figure Skating
626,Sapporo,Bobsleigh Men's Two,Bobsleigh
627,Sapporo,Bobsleigh Men's Four,Bobsleigh
628,Innsbruck,Bobsleigh Men's Two,Bobsleigh
629,Innsbruck,Bobsleigh Men's Four,Bobsleigh
633,Calgary,Nordic Combined Men's Team,Nordic Combined
634,Calgary,Nordic Combined Men's Individual,Nordic Combined
635,Albertville,Nordic Combined Men's Individual,Nordic Combined
636,Lillehammer,Nordic Combined Men's Team,Nordic Combined
637,Lillehammer,Nordic Combined Men's Individual,Nordic Combined
672,Chamonix,Ice Hockey Men's Ice Hockey,Ice Hockey
673,Oslo,Ice Hockey Men's Ice Hockey,Ice Hockey
674,Innsbruck,Nordic Combined Men's Individual,Nordic Combined
675,Lake Placid,Nordic Combined Men's Individual,Nordic Combined
714,Lake Placid,Biathlon Men's 10 kilometres Sprint,Biathlon
715,Lake Placid,Biathlon Men's 20 kilometres,Biathlon
716,Lake Placid,Biathlon Men's 4 x 7.5 kilometres Relay,Biathlon
726,Albertville,Freestyle Skiing Men's Moguls,Freestyle Skiing
734,Calgary,Luge Women's Singles,Luge
735,Albertville,Luge Women's Singles,Luge
736,Lillehammer,Luge Women's Singles,Luge
737,Nagano,Luge Women's Singles,Luge
738,Salt Lake City,Luge Women's Singles,Luge
743,Oslo,Alpine Skiing Women's Slalom,Alpine Skiing
778,Nagano,Figure Skating Mixed Pairs,Figure Skating
782,Salt Lake City,Freestyle Skiing Men's Aerials,Freestyle Skiing
783,Torino,Freestyle Skiing Men's Aerials,Freestyle Skiing
784,Vancouver,Freestyle Skiing Men's Aerials,Freestyle Skiing
808,Nagano,Alpine Skiing Women's Giant Slalom,Alpine Skiing
809,Sochi,Alpine Skiing Women's Super G,Alpine Skiing
810,Sochi,Alpine Skiing Women's Giant Slalom,Alpine Skiing
811,Sochi,Alpine Skiing Women's Slalom,Alpine Skiing
815,Calgary,Cross Country Skiing Women's 5 kilometres,Cross Country Skiing
816,Calgary,Cross Country Skiing Women's 10 kilometres,Cross Country Skiing
817,Calgary,Cross Country Skiing Women's 20 kilometres,Cross Country Skiing
868,Albertville,Alpine Skiing Men's Giant Slalom,Alpine Skiing
869,Albertville,Alpine Skiing Men's Slalom,Alpine Skiing
922,Calgary,Nordic Combined Men's Individual,Nordic Combined
923,Lake Placid,Ice Hockey Men's Ice Hockey,Ice Hockey
924,Sarajevo,Ice Hockey Men's Ice Hockey,Ice Hockey
928,Sapporo,Ice Hockey Men's Ice Hockey,Ice Hockey
935,Sankt Moritz,Ice Hockey Men's Ice Hockey,Ice Hockey
936,Sapporo,Ice Hockey Men's Ice Hockey,Ice Hockey
938,Torino,Alpine Skiing Men's Giant Slalom,Alpine Skiing
939,Torino,Alpine Skiing Men's Slalom,Alpine Skiing
940,Vancouver,Alpine Skiing Men's Giant Slalom,Alpine Skiing
941,Vancouver,Alpine Skiing Men's Slalom,Alpine Skiing
942,Sochi,Alpine Skiing Men's Giant Slalom,Alpine Skiing
943,Sochi,Alpine Skiing Men's Slalom,Alpine Skiing
945,Torino,Freestyle Skiing Men's Aerials,Freestyle Skiing
946,Vancouver,Freestyle Skiing Men's Aerials,Freestyle Skiing
947,Sochi,Freestyle Skiing Men's Aerials,Freestyle Skiing
948,Vancouver,Biathlon Men's 10 kilometres Sprint,Biathlon
