player_id,Year,Medal
4,1988,
5,1988,
6,1992,
7,1992,
8,1994,
9,1994,
10,1992,
11,1992,
12,1992,
13,1992,
14,1994,
15,1994,
16,1994,
17,1994,
18,1992,
19,1992,
20,1992,
21,1992,
22,1994,
23,1994,
24,1994,
25,1994,
28,2002,
30,1980,
34,1994,
40,2014,Bronze
59,1992,
60,1992,Gold
61,1992,Bronze
62,1992,
63,1994,Silver
64,1994,Bronze
65,1994,
66,1994,
67,1994,Silver
68,1998,
69,1998,
70,1998,
71,1998,
72,2002,
73,2002,Gold
74,2002,
75,2002,
76,2002,Gold
77,2006,
78,2006,Gold
83,1960,
84,1960,
85,1964,
87,1984,
99,1998,
110,1952,Bronze
111,1956,
112,1956,
113,1960,Gold
114,1960,
115,1960,
119,1998,
120,1998,
121,2002,
122,2002,
123,2002,
245,2010,
252,2014,
265,1964,
266,1968,
276,2010,
277,2014,
278,2014,Bronze
626,1972,
627,1972,
628,1976,
629,1976,
633,1988,
634,1988,
635,1992,
636,1994,Gold
637,1994,
672,1924,Silver
673,1952,Gold
674,1976,
675,1980,
714,1980,
715,1980,
716,1980,
726,1992,
734,1988,
735,1992,
736,1994,
737,1998,
738,2002,
743,1952,
778,1998,
782,2002,
783,2006,
784,2010,
808,1998,
809,2014,
810,2014,
811,2014,
815,1988,
816,1988,
817,1988,
868,1992,
869,1992,
922,1988,
923,1980,
924,1984,
928,1972,
935,1928,Silver
936,1972,
938,2006,
939,2006,
940,2010,
941,2010,
942,2014,
943,2014,
945,2006,
946,2010,
947,2014,
948,2010,
949,2010,
950,2010,
951,2010,
952,2014,
953,2014,
954,2014,
955,2014,
956,2014,
960,1994,
961,1998,
967,1994,
972,2006,
973,2006,
974,2006,Bronze
975,2010,
976,2006,
977,2006,
978,2010,
979,2010,
993,1994,
995,1994,
996,1994,
997,1992,
998,1992,
999,1998,
1000,1998,
1001,2002,
1002,2002,
1050,2002,
1053,2002,
1130,1994,
1131,1998,
1132,1988,
1133,1988,Bronze
1134,1992,
1135,1992,
1136,1992,
1137,1992,
1138,1992,
1139,1994,
1140,1994,
1141,1994,
1142,1994,
1143,1998,
1144,1998,
1145,1998,
1146,1998,
1147,2002,
1148,2002,
1187,1948,
1193,2010,
1194,2010,
1206,2014,
1207,2014,
1208,1964,
1209,1968,
1210,1968,Bronze
1242,1998,
1243,1998,
1244,2002,Silver
1245,2002,
1246,2002,Silver
1247,2006,Silver
1248,2006,
1249,2006,
1253,1988,
1254,1992,Gold
1255,1992,Bronze
1256,1994,Gold
1257,1994,Silver
1258,1994,Silver
1259,1998,
1260,2002,
1307,1960,
1308,2006,
1309,2006,
1310,2006,
1311,2010,
1326,1932,
1327,1936,
1334,2014,
1363,2002,
1366,2006,Gold
1401,1992,
1402,1992,
1403,1992,
1404,1994,
1405,1994,
1406,1994,
1407,1998,
1408,1998,
1409,1998,
1412,1984,
1413,1988,
1414,1992,
1439,1928,
1454,1948,
1519,2014,Bronze
1601,1988,
1602,1988,
1603,1988,
1604,1992,
1605,1992,
1606,1992,
1607,1994,
1608,1994,
1609,1994,
1610,1998,
1611,1998,
1612,1998,
1613,1994,
1631,1964,
1632,1964,
1641,2014,
1689,1976,
1690,1976,
1691,1980,
1720,2010,Silver
1721,2010,
1791,1924,
1792,1964,
1793,1964,
1795,1952,
1799,1980,
1800,1980,
1801,1980,
1802,1984,
1803,1984,
1804,1984,
1805,1976,
1806,1976,
1873,1968,
1885,2002,
1892,2002,
1896,2002,
1897,2006,
1898,2006,
1911,2014,
1915,2014,
1926,2002,
1927,1972,
1951,1924,
1952,1924,
1953,1924,
1957,2014,
1958,2014,
1962,2002,Bronze
1963,2006,
1964,2010,
1999,1964,
2000,1964,
2001,1964,
2013,2014,
2020,2006,
2027,1976,
2028,1976,
2039,1956,
2040,1964,
2053,1932,
2071,1960,
2102,1994,
2103,1952,
2104,1952,
2105,1952,
2106,1956,
2107,1956,
2108,1956,
2126,2006,Gold
2127,2010,Gold
2128,2014,Gold
2138,2006,Silver
2139,2010,
2149,1964,
2150,1964,
2157,2014,
2158,2014,
2285,2002,
2302,2006,
2320,2006,
2363,1972,Silver
2370,1984,
2390,1972,
2391,1980,Bronze
2395,1998,
2396,2002,Bronze
2397,1924,Silver
2398,1984,Bronze
2431,1952,
2432,1952,
2520,1992,
2521,1992,
2522,1992,
2523,1992,
2524,1994,
2525,1994,
2526,1994,
2527,1998,
2528,1998,
2529,1998,
2530,1998,
2531,1984,
2543,1976,
2549,1994,
2550,1994,
2551,1994,
2552,1998,
2553,1998,
2554,1998,
2555,2002,
2556,2002,
2557,2002,Silver
2558,2006,
2559,2006,
2560,2006,Silver
2561,2010,
2562,2010,
2563,2014,
2564,2014,
2565,2014,
2568,2002,
2588,1952,
2589,1956,
2595,2006,
2596,2006,
2622,1936,Silver
2670,1988,
2671,1988,
2681,1998,
2682,2002,
2683,1964,
2684,1964,
2685,1968,
2686,1968,
2697,2010,
2707,1948,
2708,1948,
2729,1984,
2730,1984,
2731,1988,
2732,1988,
2742,1984,
2743,1984,
2744,1992,
2745,1992,
2746,1992,
2777,1980,
2778,1980,
2847,1972,
2848,1992,Bronze
2849,1994,
2856,1960,
2889,1968,
2890,1968,
2891,1968,
2892,1968,
2898,1984,
2909,1960,
2910,1964,
2916,1964,
2917,1988,
2918,1964,
2920,1984,
2932,1998,
2933,1998,
2934,1998,Silver
2935,2002,
2936,2002,Bronze
2937,2006,
2938,2006,Bronze
2939,2006,
2940,2006,Bronze
2941,2006,Gold
2956,2014,
2957,2014,
2971,1998,
2972,2002,
2973,2002,
3000,1968,
3001,1972,
3002,1976,
3009,1980,
3010,1980,
3127,2014,
3837,2002,
3847,1998,
3848,2002,
3909,1968,
3925,1998,
3937,1994,Bronze
3938,1960,
3939,1960,
3940,1960,Gold
3967,1988,
3968,1988,
3969,1992,Silver
3970,1992,
3971,1992,
3972,1992,Silver
3973,1994,Bronze
3974,1994,
3975,1994,Gold
3976,1998,
3977,1998,
3978,1998,Silver
4003,1998,
4038,1998,
4039,2002,
4040,1924,
4044,2006,
4045,2006,
4046,2006,
4057,1960,
4058,1960,
4059,1960,
4060,1964,
4070,1956,
4074,1994,
4075,2010,
4076,2010,
4095,1998,
4096,1998,
4097,1998,
4098,2002,
4099,2002,
4100,2002,
4101,2006,
4102,2006,
4103,2006,
4108,2006,
4109,2006,
4110,2006,
4116,2002,
4117,2006,
4121,2002,
4122,2002,
4123,2010,
4130,1980,Bronze
4131,1980,
4132,1980,
4133,1992,
4134,1992,
4135,1992,
4136,1992,
4137,1994,
4138,1994,
4139,1994,
4140,1998,
4141,1998,
4142,1998,
4143,1998,
4144,2002,
4145,2002,
4146,2002,Bronze
4152,1952,
4153,1976,
4156,1952,Silver
4157,1956,Gold
4197,2002,
4198,2006,
4203,2002,
4204,2002,
4205,2002,
4206,2002,
4207,2002,
4208,2006,
4209,2006,
4210,2006,
4211,2006,
4212,2010,
4213,2010,
4214,2010,
4215,2010,
4216,2010,
4217,2014,
4218,2014,
4219,2014,
4222,2014,
4249,1924,
4259,1992,
4260,1992,
4261,1992,
4262,1992,
4263,1992,
4264,1992,
4265,1992,
4274,1952,
4275,1956,
4276,1956,
4277,1992,
4334,1976,Gold
4361,2006,
4363,1960,Bronze
4364,1964,Gold
4365,1968,Gold
4366,1984,Bronze
4367,1984,
4375,2006,
4391,1998,
4395,1988,
4412,2002,
4418,1988,
4422,1992,
4423,1992,
4424,1992,
4425,1994,
4426,1994,
4468,2014,
4469,2014,
4470,2014,
4509,2006,
4510,2010,
4511,2010,
4512,2010,
4513,2014,
4514,2014,
4515,2014,
4565,1972,
4566,1972,
4567,2002,
4628,1998,
4629,2002,
4630,2006,Gold
4631,2010,
4632,2014,Silver
4646,1994,Gold
4788,1980,Silver
4789,1980,
4790,1980,Gold
4803,1994,
4842,1998,
4843,2006,
4844,2006,
4845,2006,
4857,1988,
4880,1992,Bronze
4888,1936,Bronze
4889,2002,
4912,1992,Silver
4913,1994,
4927,2006,
4933,1998,
4934,1936,
4935,1998,
4936,2002,
4970,1984,
4971,1984,
4972,1984,
4998,1992,
4999,1992,
5000,1992,
5010,1980,
5036,1972,
5037,1972,
5038,1972,
5039,1972,
5041,1964,Bronze
5046,1968,
5047,1968,
5053,1948,
5054,1948,
5063,1976,
5066,1976,
5100,1964,
5103,1924,
5125,1992,
5132,1948,
5173,1952,
5174,1924,
5176,1998,
5223,1994,
5224,1964,
5225,1968,
5226,1972,
5227,1988,
5228,1992,
5232,1998,
5233,2002,Bronze
5279,1960,Bronze
5280,1964,Gold
5300,2010,
5301,2010,
5302,2014,
5303,2014,
5308,1952,Bronze
5330,1952,
5331,1952,
5332,1948,
5333,1948,
5334,1948,
5335,1952,
5336,1952,
5337,1952,
5338,1956,
5339,1956,
5340,1956,
5374,1968,
5380,2014,
5400,1988,
5401,1988,
5402,1988,
5403,1992,
5404,1992,
5405,1994,
5406,1994,
5421,1994,
5422,1994,Gold
5423,1994,Silver
5424,1998,
5425,1998,
5426,1998,
5427,1998,Gold
5428,1998,Gold
5429,2002,
5430,2002,Gold
5431,2002,Gold
5461,1956,Gold
5474,1992,
5475,1992,
5478,1948,
5482,1980,
5483,1980,
5485,2014,
5502,2014,Bronze
5503,2014,
5514,1948,Bronze
5515,1952,Gold
5527,1994,
5565,2014,
5566,2014,
5567,2014,
5568,2014,Silver
5650,1988,
5651,1988,
5652,1988,
5653,1992,
5654,1992,
5655,1992,
5656,1992,
5691,1952,
5692,1956,
5693,1952,
5694,2006,
5695,2006,
5696,1976,
5697,1976,
5698,1964,
5699,1952,
5700,1956,Silver
5701,1956,Silver
5702,1948,
5703,1948,
5704,1948,
5705,1952,
5706,1952,
5707,1952,
5760,1980,Bronze
5761,1980,Gold
5762,1980,Gold
5780,2006,
5781,2006,
5782,2006,Bronze
5791,2006,
5792,1992,
5793,1994,
5794,1998,
5842,1956,
5843,1956,
5845,1992,
5846,1994,
5849,1998,
5852,1980,Bronze
5853,1984,
5854,2002,
5982,1956,
5983,1960,
5984,1964,
5989,1964,
5990,1964,
6017,2006,
6018,2010,
6019,2014,
6020,2014,
6021,1980,
6022,1980,
6023,1980,
6025,1984,
6067,1960,
6104,1994,
6105,1998,
6106,2002,Silver
6140,1956,
6141,1956,
6142,1956,
6155,2014,
6160,1964,
6161,1964,
6169,1998,
6170,1998,
6171,1998,
6172,2002,Gold
