player_id,Name,Sex,Age
4,Christine Jacoba Aaftink,F,21
5,Christine Jacoba Aaftink,F,21
6,Christine Jacoba Aaftink,F,25
7,Christine Jacoba Aaftink,F,25
8,Christine Jacoba Aaftink,F,27
9,Christine Jacoba Aaftink,F,27
10,Per Knut Aaland,M,31
11,Per Knut Aaland,M,31
12,Per Knut Aaland,M,31
13,Per Knut Aaland,M,31
14,Per Knut Aaland,M,33
15,Per Knut Aaland,M,33
16,Per Knut Aaland,M,33
17,Per Knut Aaland,M,33
18,John Aalberg,M,31
19,John Aalberg,M,31
20,John Aalberg,M,31
21,John Aalberg,M,31
22,John Aalberg,M,33
23,John Aalberg,M,33
24,John Aalberg,M,33
25,John Aalberg,M,33
28,Antti Sami Aalto,M,26
30,Jorma Ilmari Aalto,M,22
34,Pirjo Hannele Aalto (Mattila-),F,32
40,Juhamatti Tapio Aaltonen,M,28
59,Kjetil Andr Aamodt,M,20
60,Kjetil Andr Aamodt,M,20
61,Kjetil Andr Aamodt,M,20
62,Kjetil Andr Aamodt,M,20
63,Kjetil Andr Aamodt,M,22
64,Kjetil Andr Aamodt,M,22
65,Kjetil Andr Aamodt,M,22
66,Kjetil Andr Aamodt,M,22
67,Kjetil Andr Aamodt,M,22
68,Kjetil Andr Aamodt,M,26
69,Kjetil Andr Aamodt,M,26
70,Kjetil Andr Aamodt,M,26
71,Kjetil Andr Aamodt,M,26
72,Kjetil Andr Aamodt,M,30
73,Kjetil Andr Aamodt,M,30
74,Kjetil Andr Aamodt,M,30
75,Kjetil Andr Aamodt,M,30
76,Kjetil Andr Aamodt,M,30
77,Kjetil Andr Aamodt,M,34
78,Kjetil Andr Aamodt,M,34
83,Nils Egil Aaness,M,24
84,Nils Egil Aaness,M,24
85,Nils Egil Aaness,M,27
87,Agnes Erika Aanonsen (-Eyde),F,17
99,Dagfinn Sverre Aarskog,M,24
110,Roald Edgar Aas,M,23
111,Roald Edgar Aas,M,27
112,Roald Edgar Aas,M,27
113,Roald Edgar Aas,M,31
114,Roald Edgar Aas,M,31
115,Roald Edgar Aas,M,31
119,Meelis Aasme,M,25
120,Meelis Aasme,M,25
121,Meelis Aasme,M,29
122,Meelis Aasme,M,29
123,Meelis Aasme,M,29
245,Muhammad Abbas,M,23
252,Forough Abbasi,F,20
265,Giordano Giulio Abbondati,M,15
266,Giordano Giulio Abbondati,M,19
276,Jeremy Abbott,M,24
277,Jeremy Abbott,M,28
278,Jeremy Abbott,M,28
626,Kazumi Abe,M,24
627,Kazumi Abe,M,24
628,Kazumi Abe,M,28
629,Kazumi Abe,M,28
633,Masashi Abe,M,22
634,Masashi Abe,M,22
635,Masashi Abe,M,26
636,Masashi Abe,M,28
637,Masashi Abe,M,28
672,Clarence John Abel,M,23
673,George Gordon Abel,M,35
674,Gnther Abel,M,19
675,Gnther Abel,M,23
714,Ral Daniel Abella,M,26
715,Ral Daniel Abella,M,26
716,Ral Daniel Abella,M,26
726,Bjrn Olof Conny berg,M,23
734,"Julianne ""Anne"" Abernathy",F,34
735,"Julianne ""Anne"" Abernathy",F,38
736,"Julianne ""Anne"" Abernathy",F,40
737,"Julianne ""Anne"" Abernathy",F,44
738,"Julianne ""Anne"" Abernathy",F,48
743,Edme Abetel (-Barr),F,29
