team_id,team,country_abbr
4,Netherlands,NED
5,Netherlands,NED
6,Netherlands,NED
7,Netherlands,NED
8,Netherlands,NED
9,Netherlands,NED
10,United States,USA
11,United States,USA
12,United States,USA
13,United States,USA
14,United States,USA
15,United States,USA
16,United States,USA
17,United States,USA
18,United States,USA
19,United States,USA
20,United States,USA
21,United States,USA
22,United States,USA
23,United States,USA
24,United States,USA
25,United States,USA
28,Finland,FIN
30,Finland,FIN
34,Finland,FIN
40,Finland,FIN
59,Norway,NOR
60,Norway,NOR
61,Norway,NOR
62,Norway,NOR
63,Norway,NOR
64,Norway,NOR
65,Norway,NOR
66,Norway,NOR
67,Norway,NOR
68,Norway,NOR
69,Norway,NOR
70,Norway,NOR
71,Norway,NOR
72,Norway,NOR
73,Norway,NOR
74,Norway,NOR
75,Norway,NOR
76,Norway,NOR
77,Norway,NOR
78,Norway,NOR
83,Norway,NOR
84,Norway,NOR
85,Norway,NOR
87,Norway,NOR
99,Norway,NOR
110,Norway,NOR
111,Norway,NOR
112,Norway,NOR
113,Norway,NOR
114,Norway,NOR
115,Norway,NOR
119,Estonia,EST
120,Estonia,EST
121,Estonia,EST
122,Estonia,EST
123,Estonia,EST
245,Pakistan,PAK
252,Iran,IRI
265,Italy,ITA
266,Italy,ITA
276,United States,USA
277,United States,USA
278,United States,USA
626,Japan-1,JPN
627,Japan-1,JPN
628,Japan-1,JPN
629,Japan,JPN
633,Japan,JPN
634,Japan,JPN
635,Japan,JPN
636,Japan,JPN
637,Japan,JPN
672,United States,USA
673,Canada,CAN
674,West Germany,FRG
675,West Germany,FRG
714,Argentina,ARG
715,Argentina,ARG
716,Argentina,ARG
726,Sweden,SWE
734,United States Virgin Islands,ISV
735,United States Virgin Islands,ISV
736,United States Virgin Islands,ISV
737,United States Virgin Islands,ISV
738,United States Virgin Islands,ISV
743,Switzerland,SUI
778,France-1,FRA
782,Ukraine,UKR
783,Ukraine,UKR
784,Ukraine,UKR
808,Latvia,LAT
809,Latvia,LAT
810,Latvia,LAT
811,Latvia,LAT
815,Spain,ESP
816,Spain,ESP
